output_prefix	name	motif_id	cluster	total_tfbs	uninf_mean_score	uninf_bound	red_mean_score	red_bound	gfp_mean_score	gfp_bound	uninf_red_change	uninf_red_pvalue	uninf_gfp_change	uninf_gfp_pvalue	red_gfp_change	red_gfp_pvalue
Arnt_MA0004.1	Arnt	MA0004.1	C_MAX	15590	0.3322	4220	0.33231	4254	0.33373	4152	-0.06103	1.57477E-85	-0.02422	2.74305E-52	0.03963	8.20723E-67
T_MA0009.2	T	MA0009.2	C_T	8461	0.18964	974	0.19045	1019	0.1833	912	-0.00254	5.98775E-05	0.126	7.85712E-111	0.08313	7.76328E-93
RUNX3_MA0684.1	RUNX3	MA0684.1	C_RUNX2	24469	0.23071	4200	0.22557	4126	0.22576	3990	0.06852	6.49425E-102	0.12149	4.06332E-126	0.01435	1.13327E-40
NFIL3_MA0025.1	NFIL3	MA0025.1	C_NFIL3	12500	0.18293	1329	0.17556	1345	0.17411	1179	0.15521	5.55320E-127	0.17577	2.47227E-132	-0.03097	5.91800E-60
MXI1_MA1108.1	MXI1	MA1108.1	C_MAX	10639	0.34098	3013	0.34007	3007	0.34343	2987	-0.06981	2.77884E-86	-0.0469	6.92041E-69	0.0335	2.37020E-56
MEF2B_MA0660.1	MEF2B	MA0660.1	C_MEF2C	24638	0.15126	1926	0.14202	1836	0.14552	1687	0.15837	1.64926E-144	0.11624	1.89196E-122	-0.07419	8.26901E-112
CUX1_MA0754.1	CUX1	MA0754.1	C_CUX1	4631	0.13471	260	0.13389	289	0.13567	253	0.04724	2.97821E-56	-0.03512	1.41454E-41	-0.07196	9.87958E-70
PBX3_MA1114.1	PBX3	MA1114.1	C_PBX3	37791	0.26382	7275	0.26192	7346	0.25759	6990	-0.00251	8.87246E-05	0.10216	1.38674E-132	0.06689	5.81724E-109
CREB1_MA0018.3	CREB1	MA0018.3	C_ATF7	16940	0.31237	3957	0.30803	3936	0.30957	3833	0.04669	5.03487E-82	0.12775	1.07904E-122	0.0381	1.33589E-73
NFATC2_MA0152.1	NFATC2	MA0152.1	C_NFATC2	65444	0.17847	7283	0.17012	6806	0.17432	6580	0.11296	5.08317E-140	0.10149	1.51737E-133	-0.04282	6.31625E-102
GATA2_MA0036.3	GATA2	MA0036.3	C_GATA2	19836	0.15013	1472	0.14579	1462	0.14859	1391	0.09198	1.98156E-108	0.05067	1.73616E-86	-0.05611	7.09989E-88
RUNX1_MA0002.2	RUNX1	MA0002.2	C_RUNX2	50630	0.22531	8354	0.22358	8289	0.22063	7868	0.00994	9.01188E-41	0.11451	2.02142E-141	0.06374	2.35120E-116
E2F4_MA0470.1	E2F4	MA0470.1	C_E2F4	30621	0.47996	13545	0.48146	13528	0.49434	14105	-0.06801	2.25589E-94	-0.21784	5.95213E-145	-0.07577	4.43070E-99
MEF2A_MA0052.3	MEF2A	MA0052.3	C_MEF2C	32767	0.14502	2338	0.13439	2187	0.13921	2016	0.1841	1.04062E-156	0.12098	2.13181E-139	-0.09565	3.48688E-121
ZNF384_MA1125.1	ZNF384	MA1125.1	C_ZNF384	72093	0.14168	4954	0.12473	3930	0.14004	4470	0.25314	4.01299E-174	0.06226	1.28994E-111	-0.20119	5.08244E-164
OLIG2_MA0678.1	OLIG2	MA0678.1	C_OLIG2	8911	0.15811	759	0.15664	803	0.1504	642	0.07569	1.11046E-87	0.15567	2.25410E-118	0.02993	7.82467E-50
Ddit3Cebpa_MA0019.1	Ddit3::Cebpa	MA0019.1	C_Ddit3::Cebpa	15503	0.20226	2117	0.20029	2165	0.19452	1917	0.03638	1.69120E-60	0.14033	9.94360E-119	0.05535	1.96646E-78
MAFK_MA0496.2	MAFK	MA0496.2	C_MAFK	30169	0.23945	5433	0.23685	5538	0.22606	4811	0.07133	2.87361E-110	0.26053	8.98429E-166	0.10624	2.71703E-127
REST_MA0138.2	REST	MA0138.2	C_REST	34576	0.25182	6861	0.25548	6865	0.25528	6747	-0.10497	5.98212E-128	-0.02944	9.25662E-74	0.07883	6.84043E-116
RUNX2_MA0511.2	RUNX2	MA0511.2	C_RUNX2	20758	0.24214	3812	0.23609	3770	0.23712	3644	0.07743	8.26843E-103	0.11585	7.26240E-120	0.00203	2.06984E-04
Foxq1_MA0040.1	Foxq1	MA0040.1	C_Foxq1	29078	0.15872	2524	0.14949	2455	0.14987	2114	0.17249	1.57970E-143	0.17495	1.31524E-147	-0.0477	1.49948E-89
BHLHE40_MA0464.2	BHLHE40	MA0464.2	C_MAX	6910	0.36236	2057	0.35983	2075	0.36455	2033	-0.02043	3.80116E-33	-0.02986	2.72656E-44	-0.00278	1.34185E-03
LEF1_MA0768.1	LEF1	MA0768.1	C_LEF1	32861	0.16134	2906	0.15714	2905	0.1563	2631	0.09187	3.53007E-119	0.10706	7.03219E-129	-0.01886	9.88764E-52
FOXL1_MA0033.2	FOXL1	MA0033.2	C_FOXI1	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
IRF4_MA1419.1	IRF4	MA1419.1	C_IRF1	15887	0.21106	2298	0.20495	2235	0.2103	2228	0.11614	5.69468E-116	0.05042	3.84108E-84	-0.07893	7.94295E-99
Crem_MA0609.1	Crem	MA0609.1	C_Crem	4246	0.51767	1733	0.5147	1701	0.52025	1727	0.06011	5.99085E-57	-0.01242	4.37507E-15	-0.06721	3.38554E-65
KLF4_MA0039.3	KLF4	MA0039.3	C_KLF4	35965	0.25432	6775	0.25884	6885	0.2602	6872	-0.09624	4.19686E-124	-0.05342	4.21265E-99	0.05458	6.50382E-95
NFAT5_MA0606.1	NFAT5	MA0606.1	C_NFAT5	42526	0.17044	4291	0.16355	4137	0.16363	3846	0.11464	1.61557E-135	0.13259	3.89007E-135	-0.02388	1.09192E-68
BATFJUN_MA0462.1	BATF::JUN	MA0462.1	C_FOS::JUND	71532	0.28791	16959	0.28749	17527	0.27138	15266	0.0928	8.31301E-137	0.34288	1.13164E-192	0.14526	3.68715E-156
NR2F1_MA0017.2	NR2F1	MA0017.2	C_NR2F1	28733	0.19413	3574	0.19808	3737	0.19976	3613	-0.06849	7.17477E-104	-0.06602	2.61385E-102	0.0199	3.03466E-52
BACH2_MA1101.1	BACH2	MA1101.1	C_BACH2	65338	0.30729	16697	0.30672	17232	0.29542	15363	0.0458	8.33228E-101	0.289	4.21659E-180	0.15022	6.24660E-152
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC1	41083	0.1484	2997	0.13859	2881	0.14084	2517	0.18181	1.73351E-153	0.161	2.98118E-151	-0.06656	4.40973E-110
TCF3_MA0522.2	TCF3	MA0522.2	C_TCF4	29239	0.18626	3535	0.19362	3587	0.18518	3306	-0.15382	8.36252E-139	-0.02643	1.51611E-65	0.13065	9.17785E-133
STAT3_MA0144.2	STAT3	MA0144.2	C_STAT3	43769	0.21125	6291	0.2046	6132	0.20573	5885	0.07127	4.22685E-115	0.10395	3.91864E-131	-0.00157	9.61063E-04
ELF1_MA0473.2	ELF1	MA0473.2	C_ELF1	16468	0.41525	5529	0.39998	5342	0.40869	5415	0.06055	2.56476E-87	0.06615	4.62919E-91	-0.01747	4.29295E-38
YY1_MA0095.2	YY1	MA0095.2	C_YY1	27344	0.23909	4915	0.23084	4708	0.23372	4628	0.04952	4.16589E-89	0.07168	7.71906E-105	-0.00339	2.53294E-05
PAX5_MA0014.3	PAX5	MA0014.3	C_PAX5	11993	0.36347	3508	0.36376	3569	0.36989	3590	-0.0846	1.02827E-90	-0.10872	1.61575E-101	0.00702	5.01299E-12
FOSJUND_MA1141.1	FOS::JUND	MA1141.1	C_FOS::JUND	79932	0.32662	22313	0.32762	23160	0.30967	20229	0.07773	3.67160E-129	0.3676	3.30233E-196	0.17591	1.92835E-164
IRF1_MA0050.2	IRF1	MA0050.2	C_IRF1	94659	0.16464	8869	0.15321	8091	0.161	8031	0.19454	1.14543E-174	0.10212	3.17513E-143	-0.11852	2.22719E-145
Esrra_MA0592.2	Esrra	MA0592.2	C_Esrra	20048	0.18514	2344	0.18668	2398	0.18505	2258	-0.01781	1.36919E-44	0.02181	5.93269E-55	0.02854	1.79537E-65
GATA3_MA0037.3	GATA3	MA0037.3	C_GATA2	14680	0.15796	1238	0.15502	1223	0.15796	1211	0.05876	1.26086E-85	0.01411	6.89223E-31	-0.04938	7.33335E-78
EBF1_MA0154.3	EBF1	MA0154.3	C_EBF1	24223	0.22598	3968	0.22652	3970	0.23066	3988	-0.05553	2.73254E-97	-0.04659	1.49550E-91	0.01971	1.84128E-58
NHLH1_MA0048.2	NHLH1	MA0048.2	C_Tcf12	31572	0.27243	6838	0.27839	6998	0.27387	6699	-0.12053	1.91200E-131	0.00516	8.21552E-13	0.11554	1.92492E-129
MYB_MA0100.3	MYB	MA0100.3	C_MYB	19138	0.20588	2693	0.20423	2737	0.1989	2471	0.02582	2.28688E-55	0.13298	8.61115E-125	0.06061	4.53777E-91
ELK1_MA0028.2	ELK1	MA0028.2	C_ELK1	11436	0.55751	5344	0.52837	5169	0.55213	5306	0.07865	1.29057E-90	0.02174	5.81568E-37	-0.06299	2.39270E-83
SRF_MA0083.3	SRF	MA0083.3	C_SRF	9007	0.19434	1097	0.1855	1067	0.18512	1003	0.0834	1.15770E-91	0.14063	1.25668E-113	0.01121	7.71030E-16
ETS1_MA0098.3	ETS1	MA0098.3	C_ELK1	16707	0.40063	5365	0.38021	5168	0.39186	5239	0.10083	9.44570E-112	0.13161	3.76669E-123	-0.01142	3.82101E-26
Bach1Mafk_MA0591.1	Bach1::Mafk	MA0591.1	C_BACH2	47458	0.31631	12538	0.31697	12857	0.30867	11735	0.00015	7.50867E-01	0.21884	1.85560E-163	0.14395	1.82634E-145
JUNB_MA0490.1	JUNB	MA0490.1	C_FOS::JUND	82908	0.32175	22670	0.3223	23523	0.30517	20627	0.07791	7.78211E-136	0.36357	3.65639E-202	0.17325	1.05277E-162
E2F1_MA0024.3	E2F1	MA0024.3	C_E2F1	3180	0.37435	1078	0.36276	1032	0.37295	1043	0.01474	4.75650E-13	-0.04936	6.91039E-48	-0.04879	1.91644E-47
USF2_MA0526.2	USF2	MA0526.2	C_USF2	14786	0.32871	3869	0.32741	3887	0.32366	3744	-0.02839	6.48749E-57	0.09972	5.87691E-107	0.08964	2.15048E-103
ATF7_MA0834.1	ATF7	MA0834.1	C_ATF7	9499	0.36635	2694	0.36067	2661	0.35991	2590	0.08873	9.88196E-97	0.1866	1.24437E-128	0.03903	3.78483E-62
FOXI1_MA0042.2	FOXI1	MA0042.2	C_FOXI1	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
ZNF24_MA1124.1	ZNF24	MA1124.1	C_ZNF24	33770	0.18518	3912	0.17918	3889	0.17775	3550	0.10799	1.41819E-123	0.14704	2.55196E-143	-0.00662	7.41532E-17
TCF7L2_MA0523.1	TCF7L2	MA0523.1	C_LEF1	32811	0.16808	3179	0.16318	3150	0.16294	2860	0.0962	8.63744E-123	0.11552	2.04636E-124	-0.01691	6.88552E-49
EN1_MA0027.2	EN1	MA0027.2	C_EN1	9086	0.17418	877	0.16964	878	0.17164	820	0.07393	7.93224E-88	0.04796	8.31624E-70	-0.0408	7.48998E-63
ZEB1_MA0103.3	ZEB1	MA0103.3	C_TCF4	40002	0.216	6283	0.22228	6288	0.21751	6045	-0.15793	9.53896E-147	-0.06823	2.83703E-111	0.1079	5.90515E-130
FOXD1_MA0031.1	FOXD1	MA0031.1	C_FOXI1	29412	0.16793	2826	0.16071	2757	0.15956	2447	0.13569	3.70373E-136	0.16791	3.25350E-151	-0.01869	3.72545E-54
CEBPB_MA0466.2	CEBPB	MA0466.2	C_CEBPB	9196	0.23787	1626	0.23657	1666	0.23287	1511	0.07571	7.44804E-91	0.12856	7.23868E-114	0.01215	1.99168E-18
NFYB_MA0502.1	NFYB	MA0502.1	C_NFYB	17468	0.52142	5664	0.48913	5602	0.48375	5478	0.05898	5.07410E-87	0.20189	1.95789E-139	0.07364	2.18614E-96
HSF1_MA0486.2	HSF1	MA0486.2	C_HSF1	18237	0.18784	2203	0.18108	2083	0.18207	1989	0.1	2.01772E-109	0.09883	1.19157E-110	-0.03232	1.44416E-59
Tcf12_MA0521.1	Tcf12	MA0521.1	C_Tcf12	47731	0.25503	9406	0.25988	9577	0.25389	9018	-0.10488	1.69159E-127	0.04951	3.59852E-95	0.12968	1.90701E-136
TBX21_MA0690.1	TBX21	MA0690.1	C_TBX21	20380	0.18793	2378	0.18873	2425	0.18275	2178	-0.00892	3.84342E-25	0.08295	3.81244E-108	0.06031	2.05782E-94
CTCF_MA0139.1	CTCF	MA0139.1	C_CTCF	58887	0.33899	17775	0.32903	17159	0.31599	15296	0.03271	1.17358E-90	0.339	1.17525E-190	0.18507	1.17090E-164
TFAP2A_MA0003.3	TFAP2A	MA0003.3	C_TFAP2A	32831	0.33622	9532	0.33773	9413	0.34321	9687	-0.09392	3.09650E-122	-0.09442	1.84457E-122	0.02609	5.68607E-66
TCF4_MA0830.1	TCF4	MA0830.1	C_TCF4	31837	0.18783	3912	0.19532	3949	0.18853	3713	-0.16148	1.51297E-145	-0.05532	3.11141E-99	0.12005	9.99214E-133
NRF1_MA0506.1	NRF1	MA0506.1	C_NRF1	27290	0.5613	14348	0.56345	14343	0.57479	14833	-0.0781	6.39997E-105	-0.20769	1.10426E-146	-0.05946	2.16461E-93
Gata1_MA0035.3	Gata1	MA0035.3	C_GATA2	21811	0.15507	1733	0.15031	1682	0.15338	1649	0.08707	4.36179E-113	0.04946	1.28798E-81	-0.05256	3.14706E-90
Foxa2_MA0047.2	Foxa2	MA0047.2	C_FOXI1	35456	0.16989	3436	0.16341	3431	0.16202	3018	0.12368	2.47954E-130	0.16311	4.57309E-145	-0.01064	1.15200E-32
ETV6_MA0645.1	ETV6	MA0645.1	C_ELK1	23007	0.3953	7392	0.38214	7194	0.39022	7230	0.04175	4.29949E-89	0.07209	7.20929E-112	0.00461	1.07361E-16
MAX_MA0058.3	MAX	MA0058.3	C_MAX	9292	0.33029	2506	0.32936	2522	0.33084	2453	-0.0507	4.17829E-70	-0.01452	5.37188E-24	0.03595	1.57050E-56
Gabpa_MA0062.2	Gabpa	MA0062.2	C_ELK1	19570	0.50881	8406	0.48849	8155	0.50652	8411	0.03827	9.91017E-73	-0.01384	4.18801E-33	-0.04835	3.79461E-82
NFYA_MA0060.3	NFYA	MA0060.3	C_NFYB	17252	0.46365	4983	0.43573	4942	0.4315	4837	0.05694	7.25829E-84	0.17667	9.20670E-132	0.0587	3.93859E-85
MEF2C_MA0497.1	MEF2C	MA0497.1	C_MEF2C	55843	0.14647	4100	0.13409	3655	0.14099	3504	0.2036	3.52085E-165	0.12043	9.83908E-144	-0.11444	2.01977E-141
