output_prefix	name	motif_id	cluster	total_tfbs	uninf_mean_score	uninf_bound	red_mean_score	red_bound	gfp_mean_score	gfp_bound	uninf_red_change	uninf_red_pvalue	uninf_gfp_change	uninf_gfp_pvalue	red_gfp_change	red_gfp_pvalue
IRF7_MA0772.1	IRF7	MA0772.1	C_IRF1	38237	0.16975	3764	0.16011	3556	0.16641	3485	0.17692	2.78653E-147	0.08906	8.99399E-120	-0.11048	1.94469E-135
FOXL1_MA0033.2	FOXL1	MA0033.2	C_FOXP3	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
FOXI1_MA0042.2	FOXI1	MA0042.2	C_FOXP3	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
RUNX2_MA0511.2	RUNX2	MA0511.2	C_RUNX2	20758	0.24214	3812	0.23609	3770	0.23712	3644	0.07743	8.26843E-103	0.11585	7.26240E-120	0.00203	2.06984E-04
IRF1_MA0050.1	IRF1	MA0050.1	C_IRF1	45976	0.17375	4753	0.1641	4461	0.17073	4385	0.15704	3.17485E-140	0.08382	7.90973E-123	-0.09588	3.76314E-119
FOXD1_MA0031.1	FOXD1	MA0031.1	C_FOXP3	29412	0.16793	2826	0.16071	2757	0.15956	2447	0.13569	3.70373E-136	0.16791	3.25350E-151	-0.01869	3.72545E-54
RUNX1_MA0002.1	RUNX1	MA0002.1	C_RUNX2	26575	0.2011	3617	0.19529	3517	0.19181	3241	0.10019	3.20635E-121	0.17446	9.65258E-145	0.02042	7.29518E-57
CEBPD_MA0836.1	CEBPD	MA0836.1	C_CEBPE	8791	0.23831	1550	0.2362	1583	0.23355	1436	0.08781	6.97905E-96	0.12086	2.29555E-109	-0.00444	7.87616E-04
FOXF2_MA0030.1	FOXF2	MA0030.1	C_FOXF2	23763	0.16973	2371	0.1614	2280	0.16294	2062	0.14594	4.67301E-135	0.13724	2.06500E-132	-0.0489	3.07723E-86
RUNX3_MA0684.2	RUNX3	MA0684.2	C_RUNX3	31759	0.20069	4282	0.19664	4255	0.19546	4017	0.05059	2.16183E-99	0.10875	3.47147E-128	0.02182	6.59081E-64
STAT3_MA0144.2	STAT3	MA0144.2	C_STAT1	43769	0.21125	6291	0.2046	6132	0.20573	5885	0.07127	4.22685E-115	0.10395	3.91864E-131	-0.00157	9.61063E-04
FOXO3_MA0157.2	FOXO3	MA0157.2	C_FOXP3	22369	0.18041	2466	0.17357	2422	0.1718	2154	0.12725	2.67700E-129	0.16983	1.57213E-148	-0.01008	2.24802E-32
FOXK1_MA0852.2	FOXK1	MA0852.2	C_FOXP3	28217	0.18177	3194	0.1752	3129	0.17382	2819	0.10967	4.12545E-131	0.15437	2.98803E-142	-0.0034	4.31948E-08
FOXL1_MA0033.1	FOXL1	MA0033.1	C_FOXL1	17757	0.13486	1013	0.12624	1016	0.1275	815	0.1802	7.33173E-139	0.15175	8.88751E-124	-0.07046	3.72156E-97
FOXP1_MA0481.1	FOXP1	MA0481.1	C_FOXP3	86299	0.15509	7207	0.14127	6339	0.15063	6423	0.21719	3.22178E-173	0.11632	5.26279E-150	-0.12988	4.56777E-151
CEBPE_MA0837.1	CEBPE	MA0837.1	C_CEBPE	9396	0.23482	1625	0.2329	1669	0.22999	1508	0.08588	2.04804E-93	0.12418	4.66915E-109	-0.00033	9.69987E-01
FOXC1_MA0032.1	FOXC1	MA0032.1	C_FOXC1	13016	0.19882	1749	0.1962	1763	0.19123	1594	0.05866	5.25207E-83	0.13809	6.17174E-127	0.03377	3.19894E-68
IRF3_MA1418.1	IRF3	MA1418.1	C_IRF3	38762	0.19333	4973	0.18546	4705	0.19012	4627	0.13512	2.09143E-145	0.07847	1.99545E-120	-0.07886	1.73843E-122
TBP_MA0108.2	TBP	MA0108.2	C_TBP	14604	0.17233	1456	0.16484	1441	0.16584	1325	0.13501	1.37562E-118	0.12191	1.92999E-120	-0.04887	2.85784E-82
FOXO6_MA0849.1	FOXO6	MA0849.1	C_FOXP3	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
STAT1_MA0137.1	STAT1	MA0137.1	C_STAT1::STAT2	51082	0.18934	6283	0.18153	5900	0.18627	5867	0.12554	7.31605E-141	0.08937	3.23803E-123	-0.06259	4.40945E-111
FOXA1_MA0148.2	FOXA1	MA0148.2	C_FOXA1	44801	0.17479	4635	0.16829	4526	0.16725	4082	0.11229	4.14987E-133	0.15533	3.00221E-148	-0.0051	1.14840E-15
NFATC4_MA1525.1	NFATC4	MA1525.1	C_NFATC3	27561	0.18894	3329	0.1822	3227	0.18337	3057	0.10461	1.55805E-122	0.10725	2.41861E-125	-0.03095	3.95951E-71
FOXP2_MA0593.1	FOXP2	MA0593.1	C_FOXP3	45447	0.17132	4675	0.16267	4407	0.16393	4053	0.1459	1.23828E-146	0.15408	5.44938E-149	-0.03726	1.56269E-89
RUNX3_MA0684.1	RUNX3	MA0684.1	C_RUNX2	24469	0.23071	4200	0.22557	4126	0.22576	3990	0.06852	6.49425E-102	0.12149	4.06332E-126	0.01435	1.13327E-40
STAT1_MA0137.2	STAT1	MA0137.2	C_STAT1	33357	0.21781	4924	0.20957	4825	0.21233	4681	0.09382	6.51168E-121	0.10036	2.06128E-124	-0.02534	5.36952E-67
FOXG1_MA0613.1	FOXG1	MA0613.1	C_FOXP3	28778	0.17285	2995	0.16551	2891	0.16445	2558	0.13157	3.13099E-133	0.16857	6.16642E-141	-0.01407	2.70542E-40
NFKB1_MA0105.2	NFKB1	MA0105.2	C_NFKB1	26348	0.2718	5765	0.27374	5806	0.28271	5924	-0.1088	5.64171E-120	-0.15742	7.26492E-136	0.00074	9.59361E-02
STAT1STAT2_MA0517.1	STAT1::STAT2	MA0517.1	C_STAT1::STAT2	69439	0.17541	7425	0.16534	6825	0.17268	6824	0.16471	6.42358E-156	0.08936	2.66190E-135	-0.09924	3.75177E-135
IRF5_MA1420.1	IRF5	MA1420.1	C_IRF5	13569	0.22385	2124	0.21639	2034	0.22306	2090	0.10707	3.05380E-111	0.02924	1.72991E-57	-0.08541	3.73416E-101
MAFF_MA0495.1	MAFF	MA0495.1	C_MAFF	38848	0.2094	5670	0.20822	5738	0.19802	4988	0.06	7.94511E-112	0.22261	3.24021E-168	0.08994	3.18972E-129
FOXE1_MA1487.1	FOXE1	MA1487.1	C_FOXE1	35598	0.16432	3220	0.15557	3130	0.157	2854	0.1569	4.78777E-145	0.15554	2.50493E-143	-0.04673	3.88604E-92
FOXR2_UN0123.1	FOXR2	UN0123.1	C_FOXR2	37495	0.1334	2165	0.12413	2049	0.1279	1758	0.18144	5.10653E-149	0.11898	1.79656E-127	-0.09514	1.48980E-121
IRF8_MA0652.1	IRF8	MA0652.1	C_IRF1	18351	0.21442	2736	0.20862	2647	0.21345	2622	0.10749	4.49195E-119	0.05033	7.42905E-88	-0.07088	3.39362E-101
MEF2A_MA0052.1	MEF2A	MA0052.1	C_MEF2A	29744	0.14516	2118	0.13535	2025	0.13953	1852	0.17959	1.94601E-146	0.11544	1.33704E-124	-0.09523	4.94034E-114
FOXO3_MA0157.1	FOXO3	MA0157.1	C_FOXO3	34358	0.18181	3918	0.17643	3820	0.17384	3453	0.08587	1.67637E-116	0.15406	2.76445E-143	0.01881	9.10010E-52
MEF2A_MA0052.2	MEF2A	MA0052.2	C_MEF2A	42022	0.14762	3079	0.13655	2862	0.14141	2617	0.18666	4.43050E-151	0.13061	4.20180E-138	-0.09164	1.63393E-120
CEBPB_MA0466.2	CEBPB	MA0466.2	C_CEBPE	9196	0.23787	1626	0.23657	1666	0.23287	1511	0.07571	7.44804E-91	0.12856	7.23868E-114	0.01215	1.99168E-18
SMAD2SMAD3SMAD4_MA0513.1	SMAD2::SMAD3::SMAD4	MA0513.1	C_SMAD2::SMAD3::SMAD4	40244	0.22322	6412	0.22504	6461	0.22082	6099	-0.05238	8.04297E-103	0.05626	8.21574E-101	0.08399	3.83935E-122
FOXA1_MA0148.4	FOXA1	MA0148.4	C_FOXP3	31338	0.16397	2863	0.1568	2769	0.15515	2411	0.13502	2.16410E-133	0.17605	4.59305E-151	-0.01269	6.58656E-39
FOXP3_MA0850.1	FOXP3	MA0850.1	C_FOXP3	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
SPI1_MA0080.2	SPI1	MA0080.2	C_SPI1	25609	0.2362	4362	0.23276	4310	0.22934	4066	0.04261	9.64745E-82	0.13891	7.46366E-132	0.04835	5.06074E-87
FOXD2_MA0847.1	FOXD2	MA0847.1	C_FOXP3	28481	0.17695	3077	0.16987	3022	0.16819	2653	0.12617	9.24717E-134	0.17369	1.79041E-147	-0.00565	2.03602E-15
CTCF_MA0139.1	CTCF	MA0139.1	C_CTCF	58875	0.339	17773	0.32905	17157	0.31599	15294	0.03259	6.85839E-89	0.33893	1.97462E-189	0.18512	2.04302E-163
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	89590	0.24884	16859	0.24935	16970	0.25032	16562	-0.03396	1.68058E-94	0.02245	2.34592E-79	0.04424	1.84466E-103
FLI1_MA0475.2	FLI1	MA0475.2	C_FLI1	12917	0.45753	4875	0.43364	4657	0.44962	4790	0.10899	3.48708E-107	0.09066	1.73058E-99	-0.046	2.67821E-68
FOXI1_MA0042.1	FOXI1	MA0042.1	C_FOXI1	39411	0.15429	3229	0.14472	3079	0.14732	2786	0.16731	8.61133E-149	0.14264	1.06583E-140	-0.06529	7.38747E-107
MEF2D_MA0773.1	MEF2D	MA0773.1	C_MEF2A	29607	0.14622	2162	0.13556	2008	0.1408	1884	0.17477	3.85093E-142	0.11058	2.95247E-122	-0.09395	7.60563E-115
IRF2_MA0051.1	IRF2	MA0051.1	C_IRF2	29470	0.18673	3467	0.18002	3304	0.1831	3238	0.12371	6.71839E-130	0.08562	3.08911E-114	-0.06309	1.78165E-99
IRF4_MA1419.1	IRF4	MA1419.1	C_IRF1	15888	0.21108	2299	0.20496	2236	0.21031	2228	0.11615	5.64688E-116	0.05045	3.63624E-84	-0.07891	8.14441E-99
NFATC2_MA0152.1	NFATC2	MA0152.1	C_NFATC2	65444	0.17847	7283	0.17012	6806	0.17432	6580	0.11296	5.08317E-140	0.10149	1.51737E-133	-0.04282	6.31625E-102
MAFF_MA0495.2	MAFF	MA0495.2	C_MAFF	34987	0.22965	5907	0.22661	5980	0.21546	5167	0.08501	1.71451E-116	0.27069	3.46481E-166	0.10019	1.58869E-123
FLI1_MA0475.1	FLI1	MA0475.1	C_FLI1	56028	0.29327	12724	0.28654	12548	0.29069	12524	0.02163	4.59798E-70	0.08643	3.51311E-129	0.03347	1.68461E-88
FOS_MA0476.1	FOS	MA0476.1	C_FOS	82192	0.31996	22329	0.32079	23266	0.30327	20298	0.07751	1.78093E-131	0.36274	7.96219E-198	0.17302	4.43174E-167
FOXP1_MA0481.2	FOXP1	MA0481.2	C_FOXP3	32247	0.17874	3571	0.17247	3474	0.17037	3125	0.11157	2.96456E-128	0.1644	1.92855E-145	0.00133	1.55883E-02
IRF1_MA0050.2	IRF1	MA0050.2	C_IRF1	94659	0.16464	8869	0.15321	8091	0.161	8031	0.19454	1.14543E-174	0.10212	3.17513E-143	-0.11852	2.22719E-145
FOXA3_MA1683.1	FOXA3	MA1683.1	C_FOXP3	27627	0.17123	2798	0.16472	2739	0.16253	2411	0.12765	4.18952E-130	0.1696	2.54635E-142	-0.01059	4.58468E-29
MEF2C_MA0497.1	MEF2C	MA0497.1	C_MEF2A	55844	0.14646	4100	0.13408	3655	0.14099	3504	0.20356	3.29304E-158	0.12042	2.41136E-143	-0.11441	1.54545E-140
MEF2A_MA0052.3	MEF2A	MA0052.3	C_MEF2A	32767	0.14502	2338	0.13439	2187	0.13921	2016	0.1841	1.04062E-156	0.12098	2.13181E-139	-0.09565	3.48688E-121
FOXA1_MA0148.1	FOXA1	MA0148.1	C_FOXA1	44783	0.17459	4618	0.16806	4506	0.16702	4079	0.11299	5.21405E-135	0.15535	7.83058E-148	-0.00574	1.38076E-19
MEF2B_MA0660.1	MEF2B	MA0660.1	C_MEF2A	24636	0.15125	1926	0.14203	1836	0.14551	1687	0.15773	1.47450E-146	0.1161	2.32187E-130	-0.07368	2.77613E-113
TBP_MA0108.1	TBP	MA0108.1	C_TBP	14676	0.17182	1451	0.16422	1433	0.16533	1321	0.13514	2.90202E-124	0.12219	3.18431E-116	-0.04881	1.33829E-76
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC2	41083	0.1484	2997	0.13859	2881	0.14084	2517	0.18181	1.73351E-153	0.161	2.98118E-151	-0.06656	4.40973E-110
